!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
"# parameters can be inserted in any order, except the first two signatures"
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-11 15:08:12

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT0464

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	"ucT (1/deg, k=2)"
[CALDATA]
0	0	0.00E+00	0.00E+00
1	307.69	1.86E-03	2.20E-03
2	311.02	-9.33E-04	2.10E-03
3	314.34	-1.81E-03	2.48E-03
4	317.66	-1.13E-03	7.74E-04
5	320.99	-6.35E-04	5.71E-04
6	324.31	-1.02E-03	1.07E-03
7	327.63	-9.95E-04	6.72E-04
8	330.96	-3.32E-04	9.55E-04
9	334.29	-9.19E-04	1.01E-03
10	337.61	-6.70E-04	8.39E-04
11	340.94	-1.07E-03	4.17E-04
12	344.27	-4.61E-04	4.16E-04
13	347.6	-5.68E-04	1.60E-04
14	350.93	-3.97E-04	4.12E-04
15	354.26	-5.44E-04	1.23E-04
16	357.59	-4.52E-04	1.55E-04
17	360.92	-4.72E-04	5.28E-05
18	364.25	-4.48E-04	9.39E-05
19	367.58	-4.69E-04	6.40E-05
20	370.91	-5.46E-04	3.90E-05
21	374.24	-5.60E-04	6.34E-05
22	377.58	-5.79E-04	6.37E-05
23	380.91	-6.27E-04	8.72E-05
24	384.24	-7.16E-04	5.00E-05
25	387.58	-6.73E-04	7.00E-05
26	390.91	-7.22E-04	4.73E-05
27	394.25	-7.03E-04	3.57E-05
28	397.58	-7.10E-04	4.31E-05
29	400.92	-7.10E-04	6.73E-05
30	404.25	-7.18E-04	5.25E-05
31	407.59	-6.80E-04	5.03E-05
32	410.93	-7.05E-04	3.99E-05
33	414.27	-6.74E-04	3.32E-05
34	417.6	-6.92E-04	2.55E-05
35	420.94	-6.62E-04	3.54E-05
36	424.28	-6.40E-04	2.63E-05
37	427.62	-6.01E-04	3.76E-05
38	430.96	-5.73E-04	3.07E-05
39	434.3	-5.79E-04	3.40E-05
40	437.64	-5.82E-04	4.12E-05
41	440.98	-5.40E-04	3.12E-05
42	444.32	-4.95E-04	4.72E-05
43	447.66	-4.89E-04	4.22E-05
44	451	-4.69E-04	6.57E-05
45	454.34	-4.08E-04	7.95E-05
46	457.68	-3.48E-04	8.11E-05
47	461.02	-3.48E-04	8.63E-05
48	464.36	-3.36E-04	9.47E-05
49	467.7	-3.67E-04	5.49E-05
50	471.04	-3.65E-04	8.50E-05
51	474.38	-3.65E-04	8.99E-05
52	477.73	-4.10E-04	7.11E-05
53	481.07	-3.78E-04	7.88E-05
54	484.41	-3.01E-04	8.63E-05
55	487.75	-2.48E-04	8.57E-05
56	491.1	-1.63E-04	1.04E-04
57	494.44	-1.26E-04	9.31E-05
58	497.78	-1.00E-04	7.64E-05
59	501.12	-6.99E-05	4.91E-05
60	504.47	-3.67E-05	7.72E-05
61	507.81	-2.38E-05	7.27E-05
62	511.15	-6.63E-05	5.88E-05
63	514.49	-1.66E-05	5.10E-05
64	517.84	-2.92E-05	5.15E-05
65	521.18	-4.12E-05	6.29E-05
66	524.52	-4.78E-05	4.15E-05
67	527.87	-1.42E-05	5.79E-05
68	531.21	-5.01E-05	6.41E-05
69	534.55	-3.56E-06	5.18E-05
70	537.9	6.37E-05	7.35E-05
71	541.24	1.18E-04	4.75E-05
72	544.58	1.78E-04	6.50E-05
73	547.92	2.34E-04	5.78E-05
74	551.27	2.81E-04	6.01E-05
75	554.61	3.05E-04	8.61E-05
76	557.95	3.08E-04	8.32E-05
77	561.29	3.53E-04	6.56E-05
78	564.64	3.56E-04	5.15E-05
79	567.98	3.60E-04	8.04E-05
80	571.32	3.77E-04	9.35E-05
81	574.66	3.65E-04	7.99E-05
82	578	4.18E-04	8.42E-05
83	581.35	3.81E-04	1.03E-04
84	584.69	3.61E-04	9.13E-05
85	588.03	4.04E-04	9.86E-05
86	591.37	3.98E-04	9.62E-05
87	594.71	3.99E-04	7.52E-05
88	598.05	3.91E-04	7.55E-05
89	601.39	3.05E-04	1.07E-04
90	604.73	2.12E-04	1.25E-04
91	608.07	2.09E-04	1.93E-04
92	611.41	6.77E-04	1.39E-04
93	614.75	1.42E-03	5.08E-05
94	618.09	1.41E-03	3.10E-04
95	621.43	3.00E-04	3.19E-04
96	624.77	-4.63E-04	1.15E-04
97	628.1	-3.97E-04	3.93E-04
98	631.44	2.17E-04	3.50E-04
99	634.78	2.70E-04	2.13E-04
100	638.12	6.49E-04	8.16E-05
101	641.45	1.15E-03	7.20E-05
102	644.79	1.00E-03	5.63E-05
103	648.13	8.90E-04	1.03E-04
104	651.46	8.91E-04	9.23E-05
105	654.8	8.94E-04	7.11E-05
106	658.13	8.98E-04	9.34E-05
107	661.47	8.70E-04	1.25E-04
108	664.8	8.87E-04	8.48E-05
109	668.13	9.07E-04	1.25E-04
110	671.47	9.54E-04	1.23E-04
111	674.8	9.73E-04	1.35E-04
112	678.13	9.84E-04	8.85E-05
113	681.46	1.03E-03	6.82E-05
114	684.79	1.01E-03	8.15E-05
115	688.12	1.08E-03	9.19E-05
116	691.46	1.08E-03	8.68E-05
117	694.79	1.08E-03	1.13E-04
118	698.11	1.11E-03	6.08E-05
119	701.44	1.09E-03	8.60E-05
120	704.77	1.14E-03	8.37E-05
121	708.1	1.20E-03	9.96E-05
122	711.43	1.19E-03	1.05E-04
123	714.75	1.22E-03	1.23E-04
124	718.08	1.18E-03	1.02E-04
125	721.4	1.19E-03	1.12E-04
126	724.73	1.19E-03	1.05E-04
127	728.05	1.12E-03	8.81E-05
128	731.38	1.10E-03	8.29E-05
129	734.7	1.02E-03	8.34E-05
130	738.02	1.09E-03	9.47E-05
131	741.34	1.11E-03	9.32E-05
132	744.66	1.23E-03	7.80E-05
133	747.98	1.25E-03	5.41E-05
134	751.3	1.36E-03	5.85E-05
135	754.62	1.49E-03	9.52E-05
136	757.94	1.58E-03	1.01E-04
137	761.26	1.65E-03	9.42E-05
138	764.57	1.78E-03	8.84E-05
139	767.89	1.87E-03	4.98E-05
140	771.2	1.91E-03	4.64E-05
141	774.52	2.02E-03	6.41E-05
142	777.83	2.16E-03	1.11E-04
143	781.14	2.28E-03	1.28E-04
144	784.46	2.32E-03	9.59E-05
145	787.77	2.46E-03	9.32E-05
146	791.08	2.51E-03	9.19E-05
147	794.39	2.58E-03	6.97E-05
148	797.7	2.58E-03	1.05E-04
149	801	2.64E-03	8.96E-05
150	804.31	2.73E-03	8.45E-05
151	807.62	2.84E-03	1.20E-04
152	810.92	2.86E-03	9.66E-05
153	814.23	2.84E-03	1.10E-04
154	817.53	2.82E-03	7.83E-05
155	820.83	2.84E-03	1.07E-04
156	824.14	2.75E-03	1.15E-04
157	827.44	2.76E-03	1.19E-04
158	830.74	2.74E-03	1.03E-04
159	834.03	2.73E-03	8.12E-05
160	837.33	2.67E-03	1.04E-04
161	840.63	2.73E-03	1.19E-04
162	843.93	2.74E-03	1.01E-04
163	847.22	2.84E-03	1.07E-04
164	850.51	2.89E-03	8.93E-05
165	853.81	2.95E-03	6.76E-05
166	857.1	3.06E-03	9.47E-05
167	860.39	3.21E-03	1.10E-04
168	863.68	3.26E-03	8.79E-05
169	866.97	3.28E-03	7.11E-05
170	870.26	3.39E-03	7.10E-05
171	873.54	3.47E-03	6.44E-05
172	876.83	3.56E-03	9.87E-05
173	880.11	3.64E-03	7.57E-05
174	883.4	3.73E-03	8.69E-05
