!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
"# parameters can be inserted in any order, except the first two signatures"
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-03 14:56:41

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT2054

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	"ucT (1/deg, k=2)"
[CALDATA]
143	779.67	2.242E-03	1.013E-04
144	782.99	2.350E-03	1.055E-04
145	786.30	2.358E-03	1.300E-04
146	789.61	2.430E-03	1.378E-04
147	792.92	2.474E-03	1.483E-04
148	796.23	2.580E-03	1.751E-04
149	799.54	2.653E-03	1.508E-04
150	802.85	2.685E-03	1.117E-04
151	806.16	2.776E-03	1.312E-04
152	809.46	2.772E-03	1.782E-04
153	812.77	2.760E-03	1.952E-04
154	816.07	2.784E-03	1.257E-04
155	819.37	2.836E-03	1.190E-04
156	822.68	2.900E-03	1.378E-04
157	825.98	2.775E-03	1.534E-04
158	829.28	2.728E-03	1.330E-04
159	832.58	2.670E-03	1.603E-04
160	835.87	2.609E-03	1.679E-04
161	839.17	2.571E-03	1.282E-04
162	842.46	2.656E-03	1.153E-04
163	845.76	2.764E-03	1.536E-04
164	849.05	2.841E-03	1.467E-04
165	852.34	2.930E-03	1.373E-04
166	855.64	3.067E-03	1.612E-04
167	858.93	3.096E-03	1.377E-04
168	862.21	3.179E-03	1.340E-04
169	865.50	3.208E-03	1.242E-04
170	868.79	3.345E-03	8.254E-05
171	872.07	3.446E-03	7.678E-05
172	875.36	3.554E-03	9.608E-05
173	878.64	3.651E-03	1.046E-04
174	881.92	3.693E-03	1.726E-04
175	885.20	3.724E-03	1.335E-04
176	888.48	3.777E-03	1.336E-04
177	891.76	3.853E-03	1.629E-04
178	895.03	3.914E-03	1.162E-04
179	898.31	3.966E-03	1.303E-04
180	901.58	4.030E-03	8.148E-05
181	0.00	0.000E+00	0.000E+00
182	0.00	0.000E+00	0.000E+00
183	0.00	0.000E+00	0.000E+00
184	0.00	0.000E+00	0.000E+00
185	0.00	0.000E+00	0.000E+00
186	0.00	0.000E+00	0.000E+00
187	0.00	0.000E+00	0.000E+00
188	0.00	0.000E+00	0.000E+00
189	0.00	0.000E+00	0.000E+00
190	0.00	0.000E+00	0.000E+00
191	0.00	0.000E+00	0.000E+00
192	0.00	0.000E+00	0.000E+00
193	0.00	0.000E+00	0.000E+00
