!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-06-27 08:31:43

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAT2054

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
1270.00	0.00	0.9680	0.30
1280.00	0.00	0.9680	0.30
1290.00	0.00	0.9680	0.30
1300.00	0.00	0.9670	0.30
1310.00	0.00	0.9670	0.30
1320.00	0.00	0.9670	0.30
1330.00	0.00	0.9670	0.30
1340.00	0.00	0.9670	0.30
1350.00	0.00	0.9660	0.30
1360.00	0.00	0.9650	0.30
1370.00	0.00	0.9640	0.30
1380.00	0.00	0.9640	0.30
1390.00	0.00	0.9630	0.30
1400.00	0.00	0.9630	0.30
1410.00	0.00	0.9630	0.30
1420.00	0.00	0.9630	0.30
1430.00	0.00	0.9630	0.30
1440.00	0.00	0.9630	0.30
1450.00	0.00	0.9630	0.30
1460.00	0.00	0.9630	0.30
1470.00	0.00	0.9630	0.30
1480.00	0.00	0.9630	0.30
1490.00	0.00	0.9630	0.30
1500.00	0.00	0.9630	0.30
1510.00	0.00	0.9630	0.30
1520.00	0.00	0.9630	0.30
1530.00	0.00	0.9620	0.30
1540.00	0.00	0.9620	0.30
1550.00	0.00	0.9620	0.30
1560.00	0.00	0.9620	0.30
1570.00	0.00	0.9610	0.30
1580.00	0.00	0.9610	0.30
1590.00	0.00	0.9620	0.30
1600.00	0.00	0.9610	0.30
1610.00	0.00	0.9600	0.30
1620.00	0.00	0.9600	0.30
1630.00	0.00	0.9590	0.30
1640.00	0.00	0.9580	0.30
1650.00	0.00	0.9550	0.50
1660.00	0.00	0.9540	0.50
1670.00	0.00	0.9530	0.50
1680.00	0.00	0.9480	0.50
1690.00	0.00	0.9460	0.50
1700.00	0.00	0.9520	0.50
[END_OF_PANELDATA]

[AMBIENT_TEMP]
21.0

[DEVICE_TEMP]
22.35

# pixel no	wavelength (nm)	irradiane responsivity (unit depends on the device class)	uncertainty (%, k=2)	dark1	dark2 (content depends on the instrument class)	raw1	stdev1	raw2	stdev2
[CALDATA]
0	0.00	1024	0.00	0.000	0	1024	0.00	512	0.00
1	305.64	1.261E-003	48.99	347.200	0	60.17	1.65	50.80	5.00
2	308.96	1.148E-003	39.11	347.800	0	78.53	1.63	64.73	4.90
3	312.29	8.462E-004	21.98	352.300	0	97.80	1.68	87.47	4.12
4	315.61	5.872E-004	18.87	358.200	0	124.10	2.84	123.87	5.60
5	318.94	4.698E-004	10.25	351.800	0	159.77	2.10	165.60	4.13
6	322.27	4.398E-004	11.99	352.500	0	191.30	2.00	196.93	5.85
7	325.60	4.541E-004	10.51	353.900	0	223.27	2.14	219.87	5.42
8	328.92	4.233E-004	6.07	350.400	0	264.57	1.79	260.00	3.42
9	332.25	3.941E-004	6.07	347.200	0	301.90	1.71	301.47	4.07
10	335.58	3.654E-004	6.16	353.600	0	346.37	2.15	350.93	4.89
11	338.91	3.664E-004	4.73	350.100	0	401.53	2.24	394.33	3.72
12	342.25	3.344E-004	3.67	348.500	0	472.17	2.29	467.53	2.90
13	345.58	3.224E-004	3.98	341.600	0	559.10	1.82	541.07	3.95
14	348.91	2.937E-004	4.13	346.800	0	665.20	2.48	644.53	4.97
15	352.24	2.539E-004	3.67	348.400	0	780.93	2.60	781.93	5.12
16	355.58	2.287E-004	2.96	350.900	0	927.43	2.31	934.40	3.57
17	358.91	2.114E-004	2.84	348.600	0	1092.87	1.95	1096.73	3.61
18	362.25	1.964E-004	2.95	350.600	0	1267.33	2.33	1273.13	4.94
19	365.58	1.898E-004	2.82	348.200	0	1439.47	2.15	1432.60	4.64
20	368.92	1.834E-004	2.77	346.100	0	1595.40	1.63	1591.13	4.81
21	372.25	1.824E-004	2.76	343.600	0	1724.73	2.15	1718.60	5.03
22	375.59	1.814E-004	2.65	347.600	0	1826.83	2.31	1836.53	4.03
23	378.93	1.868E-004	2.56	347.600	0	1912.47	1.98	1914.93	2.90
24	382.27	1.892E-004	2.55	346.700	0	1998.03	2.13	2010.33	2.95
25	385.60	1.943E-004	2.55	344.000	0	2093.17	2.05	2096.33	3.50
26	388.94	1.966E-004	2.58	345.300	0	2205.50	1.84	2206.87	4.63
27	392.28	1.970E-004	2.48	349.600	0	2342.03	1.87	2342.13	4.84
28	395.62	1.930E-004	2.33	346.600	0	2500.67	2.27	2518.33	4.24
29	398.96	1.933E-004	2.19	345.500	0	2685.03	1.74	2683.60	3.38
30	402.30	1.903E-004	2.15	348.700	0	2886.60	2.00	2885.40	3.63
31	405.64	1.841E-004	2.17	346.700	0	3151.37	1.92	3151.00	5.12
32	408.98	1.779E-004	2.14	345.400	0	3458.43	2.22	3450.20	5.22
33	412.33	1.697E-004	2.10	341.900	0	3826.43	2.03	3818.33	5.31
34	415.67	1.606E-004	2.05	346.300	0	4256.37	2.31	4252.00	4.33
35	419.01	1.520E-004	2.04	343.500	0	4754.27	2.86	4740.67	5.61
36	422.35	1.422E-004	1.99	347.600	0	5302.70	1.83	5308.07	4.37
37	425.70	1.342E-004	1.97	347.700	0	5921.73	1.87	5916.80	4.51
38	429.04	1.268E-004	1.94	348.000	0	6581.37	1.92	6569.73	4.68
39	432.39	1.202E-004	1.92	344.900	0	7273.17	1.50	7262.53	5.38
40	435.73	1.142E-004	1.90	347.400	0	7987.63	2.74	7992.13	4.90
41	439.07	1.098E-004	1.87	348.700	0	8681.33	2.04	8690.20	3.05
42	442.42	1.068E-004	1.87	349.000	0	9341.27	2.10	9345.87	4.84
43	445.76	1.047E-004	1.86	352.400	0	9935.63	2.34	9949.67	3.78
44	449.11	1.039E-004	1.87	345.900	0	10437.97	1.93	10456.20	5.24
45	452.45	1.046E-004	1.86	344.700	0	10834.37	1.96	10835.80	5.12
46	455.80	1.062E-004	1.86	345.300	0	11108.63	1.77	11116.00	3.84
47	459.15	1.081E-004	1.86	342.800	0	11336.57	1.73	11350.67	3.50
48	462.49	1.105E-004	1.86	344.900	0	11517.87	1.96	11535.00	4.19
49	465.84	1.132E-004	1.86	344.500	0	11670.50	2.70	11688.67	4.34
50	469.19	1.162E-004	1.86	344.500	0	11814.43	1.87	11823.47	5.54
51	472.53	1.187E-004	1.86	340.300	0	12005.30	2.96	12005.80	5.14
52	475.88	1.207E-004	1.86	345.800	0	12219.50	1.88	12225.33	5.12
53	479.23	1.226E-004	1.86	345.100	0	12474.47	2.30	12473.80	6.35
54	482.57	1.243E-004	1.85	349.600	0	12727.77	2.32	12727.93	3.74
55	485.92	1.263E-004	1.85	349.000	0	12938.33	2.20	12945.93	4.59
56	489.27	1.286E-004	1.85	343.200	0	13128.37	2.18	13134.07	3.82
57	492.62	1.308E-004	1.85	351.400	0	13317.27	1.80	13323.27	4.47
58	495.96	1.327E-004	1.85	346.000	0	13537.83	2.46	13543.93	3.70
59	499.31	1.339E-004	1.85	346.100	0	13828.80	2.04	13839.53	3.60
60	502.66	1.340E-004	1.85	342.200	0	14226.10	1.85	14242.87	4.11
61	506.01	1.336E-004	1.85	351.000	0	14681.57	2.20	14700.53	4.55
62	509.36	1.323E-004	1.85	354.400	0	15234.07	2.09	15269.53	4.58
63	512.70	1.305E-004	1.84	349.100	0	15870.57	2.48	15915.20	3.66
64	516.05	1.283E-004	1.85	353.500	0	16590.23	3.06	16633.47	5.25
65	519.40	1.260E-004	1.84	350.900	0	17381.47	1.97	17417.60	4.25
