!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-04 16:52:36

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT2027

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
146	795.26	4.137E-03	2.993E-04
147	798.63	4.196E-03	3.033E-04
148	802.00	4.254E-03	2.991E-04
149	805.37	4.310E-03	3.030E-04
150	808.74	4.349E-03	3.044E-04
151	812.11	4.394E-03	2.929E-04
152	815.47	4.431E-03	3.001E-04
153	818.84	4.461E-03	2.906E-04
154	822.20	4.462E-03	2.932E-04
155	825.57	4.453E-03	2.832E-04
156	828.93	4.431E-03	2.842E-04
157	832.30	4.410E-03	2.925E-04
158	835.66	4.381E-03	2.834E-04
159	839.02	4.421E-03	2.712E-04
160	842.38	4.481E-03	2.806E-04
161	845.74	4.517E-03	2.729E-04
162	849.10	4.563E-03	2.642E-04
163	852.46	4.614E-03	2.503E-04
164	855.81	4.673E-03	2.457E-04
165	859.17	4.742E-03	2.594E-04
166	862.52	4.790E-03	2.767E-04
167	865.88	4.860E-03	2.584E-04
168	869.23	4.945E-03	2.514E-04
169	872.58	4.986E-03	2.506E-04
170	875.93	5.051E-03	2.326E-04
171	879.28	5.142E-03	2.345E-04
172	882.63	5.204E-03	2.584E-04
173	885.98	5.272E-03	2.570E-04
174	889.33	5.357E-03	2.354E-04
175	892.68	5.424E-03	2.435E-04
176	896.02	5.464E-03	2.215E-04
177	899.37	5.507E-03	2.125E-04
178	902.71	5.551E-03	2.030E-04
179	906.05	5.578E-03	2.184E-04
180	909.39	5.584E-03	2.055E-04
181	0.00	0.000E+00	0.000E+00
182	0.00	0.000E+00	0.000E+00
183	0.00	0.000E+00	0.000E+00
184	0.00	0.000E+00	0.000E+00
185	0.00	0.000E+00	0.000E+00
186	0.00	0.000E+00	0.000E+00
187	0.00	0.000E+00	0.000E+00
188	0.00	0.000E+00	0.000E+00
189	0.00	0.000E+00	0.000E+00
190	0.00	0.000E+00	0.000E+00
191	0.00	0.000E+00	0.000E+00
192	0.00	0.000E+00	0.000E+00
193	0.00	0.000E+00	0.000E+00
194	0.00	0.000E+00	0.000E+00
195	0.00	0.000E+00	0.000E+00
196	0.00	0.000E+00	0.000E+00
197	0.00	0.000E+00	0.000E+00
198	0.00	0.000E+00	0.000E+00
199	0.00	0.000E+00	0.000E+00
200	0.00	0.000E+00	0.000E+00
201	0.00	0.000E+00	0.000E+00
202	0.00	0.000E+00	0.000E+00
203	0.00	0.000E+00	0.000E+00
204	0.00	0.000E+00	0.000E+00
205	0.00	0.000E+00	0.000E+00
206	0.00	0.000E+00	0.000E+00
207	0.00	0.000E+00	0.000E+00
208	0.00	0.000E+00	0.000E+00
209	0.00	0.000E+00	0.000E+00
210	0.00	0.000E+00	0.000E+00
211	0.00	0.000E+00	0.000E+00
212	0.00	0.000E+00	0.000E+00
213	0.00	0.000E+00	0.000E+00
214	0.00	0.000E+00	0.000E+00
215	0.00	0.000E+00	0.000E+00
216	0.00	0.000E+00	0.000E+00
217	0.00	0.000E+00	0.000E+00
218	0.00	0.000E+00	0.000E+00
219	0.00	0.000E+00	0.000E+00
220	0.00	0.000E+00	0.000E+00
221	0.00	0.000E+00	0.000E+00
222	0.00	0.000E+00	0.000E+00
223	0.00	0.000E+00	0.000E+00
224	0.00	0.000E+00	0.000E+00
225	0.00	0.000E+00	0.000E+00
226	0.00	0.000E+00	0.000E+00
227	0.00	0.000E+00	0.000E+00
228	0.00	0.000E+00	0.000E+00
229	0.00	0.000E+00	0.000E+00
230	0.00	0.000E+00	0.000E+00
231	0.00	0.000E+00	0.000E+00
232	0.00	0.000E+00	0.000E+00
233	0.00	0.000E+00	0.000E+00
234	0.00	0.000E+00	0.000E+00
235	0.00	0.000E+00	0.000E+00
236	0.00	0.000E+00	0.000E+00
237	0.00	0.000E+00	0.000E+00
238	0.00	0.000E+00	0.000E+00
239	0.00	0.000E+00	0.000E+00
240	0.00	0.000E+00	0.000E+00
241	0.00	0.000E+00	0.000E+00
242	0.00	0.000E+00	0.000E+00
243	0.00	0.000E+00	0.000E+00
